age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Xác suất mở (%),Dự đoán
59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown,84.36,Có mở
56,admin.,married,secondary,no,45,no,no,unknown,5,may,1467,1,-1,0,unknown,77.9,Có mở
41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,1,-1,0,unknown,82.23,Có mở
55,services,married,secondary,no,2476,yes,no,unknown,5,may,579,1,-1,0,unknown,50.65,Có mở
54,admin.,married,tertiary,no,184,no,no,unknown,5,may,673,2,-1,0,unknown,80.95,Có mở
42,management,single,tertiary,no,0,yes,yes,unknown,5,may,562,2,-1,0,unknown,40.18,Không mở
56,management,married,tertiary,no,830,yes,yes,unknown,6,may,1201,1,-1,0,unknown,86.77,Có mở
60,retired,divorced,secondary,no,545,yes,no,unknown,6,may,1030,1,-1,0,unknown,85.08,Có mở
37,technician,married,secondary,no,1,yes,no,unknown,6,may,608,1,-1,0,unknown,52.44,Có mở
28,services,single,secondary,no,5090,yes,no,unknown,6,may,1297,3,-1,0,unknown,88.25,Có mở
38,admin.,single,secondary,no,100,yes,no,unknown,7,may,786,1,-1,0,unknown,77.54,Có mở
30,blue-collar,married,secondary,no,309,yes,no,unknown,7,may,1574,2,-1,0,unknown,82.47,Có mở
29,management,married,tertiary,no,199,yes,yes,unknown,7,may,1689,4,-1,0,unknown,91.0,Có mở
46,blue-collar,single,tertiary,no,460,yes,no,unknown,7,may,1102,2,-1,0,unknown,83.03,Có mở
31,technician,single,tertiary,no,703,yes,no,unknown,8,may,943,2,-1,0,unknown,83.7,Có mở
35,management,divorced,tertiary,no,3837,yes,no,unknown,8,may,1084,1,-1,0,unknown,85.99,Có mở
32,blue-collar,single,primary,no,611,yes,no,unknown,8,may,541,3,-1,0,unknown,42.71,Không mở
49,services,married,secondary,no,-8,yes,no,unknown,8,may,1119,1,-1,0,unknown,83.09,Có mở
41,admin.,married,secondary,no,55,yes,no,unknown,8,may,1120,2,-1,0,unknown,83.05,Có mở
49,admin.,divorced,secondary,no,168,yes,yes,unknown,8,may,513,1,-1,0,unknown,36.0,Không mở
28,admin.,divorced,secondary,no,785,yes,no,unknown,8,may,442,2,-1,0,unknown,22.62,Không mở
43,management,single,tertiary,no,2067,yes,no,unknown,8,may,756,1,-1,0,unknown,78.32,Có mở
43,management,divorced,tertiary,no,388,yes,no,unknown,8,may,2087,2,-1,0,unknown,84.38,Có mở
43,blue-collar,married,primary,no,-192,yes,no,unknown,8,may,1120,2,-1,0,unknown,82.06,Có mở
37,unemployed,single,secondary,no,381,yes,no,unknown,8,may,985,2,-1,0,unknown,82.96,Có mở
35,blue-collar,single,secondary,no,40,yes,no,unknown,9,may,617,4,-1,0,unknown,61.55,Có mở
31,technician,single,tertiary,no,22,yes,no,unknown,9,may,483,3,-1,0,unknown,38.94,Không mở
43,blue-collar,single,secondary,no,3,yes,no,unknown,9,may,929,3,-1,0,unknown,83.6,Có mở
31,admin.,married,secondary,no,307,yes,no,unknown,9,may,538,1,-1,0,unknown,46.25,Không mở
28,blue-collar,single,secondary,no,759,yes,no,unknown,9,may,710,1,-1,0,unknown,79.53,Có mở
32,blue-collar,married,secondary,yes,-1,yes,no,unknown,9,may,653,1,-1,0,unknown,70.45,Có mở
60,technician,married,primary,no,65,yes,no,unknown,9,may,1028,2,-1,0,unknown,82.93,Có mở
26,blue-collar,single,secondary,no,82,yes,no,unknown,9,may,654,1,-1,0,unknown,77.76,Có mở
40,blue-collar,married,secondary,no,10,yes,no,unknown,9,may,1692,2,-1,0,unknown,82.68,Có mở
33,blue-collar,divorced,primary,no,390,yes,no,unknown,9,may,665,2,-1,0,unknown,70.82,Có mở
32,management,single,tertiary,no,311,no,no,unknown,12,may,757,2,-1,0,unknown,78.03,Có mở
35,blue-collar,married,primary,no,414,no,no,unknown,13,may,504,4,-1,0,unknown,42.45,Không mở
33,management,divorced,secondary,no,5,yes,no,unknown,13,may,1346,1,-1,0,unknown,85.43,Có mở
38,management,married,tertiary,no,119,yes,no,unknown,13,may,568,4,-1,0,unknown,46.51,Không mở
23,entrepreneur,single,primary,no,4,yes,no,unknown,13,may,395,2,-1,0,unknown,15.75,Không mở
60,blue-collar,married,primary,no,1262,yes,yes,unknown,13,may,1015,1,-1,0,unknown,85.76,Có mở
48,management,married,tertiary,no,1949,yes,no,unknown,13,may,683,2,-1,0,unknown,75.47,Có mở
45,entrepreneur,divorced,tertiary,no,-395,yes,no,unknown,13,may,470,1,-1,0,unknown,23.05,Không mở
