age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Xác suất mở (%),Dự đoán
29,management,married,tertiary,no,199,yes,yes,unknown,7,may,1689,4,-1,0,unknown,91.0,Có mở
23,services,single,secondary,no,665,yes,no,unknown,28,may,1183,1,-1,0,unknown,90.4,Có mở
28,blue-collar,single,secondary,no,-127,yes,no,cellular,4,jul,1044,3,-1,0,unknown,91.47,Có mở
26,technician,married,secondary,no,370,no,yes,cellular,8,jul,1061,4,-1,0,unknown,91.99,Có mở
26,blue-collar,single,secondary,no,-29,yes,no,cellular,10,jul,998,4,-1,0,unknown,90.72,Có mở
25,blue-collar,single,secondary,no,1243,no,yes,cellular,10,jul,1341,7,-1,0,unknown,94.95,Có mở
25,blue-collar,single,primary,no,2483,no,no,cellular,10,jul,1499,3,-1,0,unknown,93.62,Có mở
29,blue-collar,single,secondary,no,482,no,yes,cellular,10,jul,1097,3,-1,0,unknown,91.19,Có mở
25,services,single,secondary,no,333,no,yes,cellular,15,jul,1056,2,-1,0,unknown,92.91,Có mở
29,blue-collar,single,unknown,no,694,yes,yes,cellular,16,jul,1806,4,-1,0,unknown,90.73,Có mở
27,services,single,secondary,no,1820,yes,no,cellular,17,jul,1027,1,-1,0,unknown,91.08,Có mở
26,technician,single,secondary,no,223,no,yes,cellular,21,jul,1002,3,-1,0,unknown,90.55,Có mở
26,services,married,secondary,no,-379,yes,yes,cellular,22,jul,1237,7,-1,0,unknown,90.39,Có mở
25,admin.,married,unknown,no,349,yes,no,cellular,22,jul,1037,8,-1,0,unknown,91.18,Có mở
25,student,single,secondary,no,1747,yes,no,cellular,24,jul,903,1,-1,0,unknown,92.17,Có mở
28,unemployed,single,tertiary,no,497,yes,no,cellular,24,jul,1602,6,-1,0,unknown,90.57,Có mở
28,technician,single,tertiary,no,1628,yes,no,cellular,25,jul,1422,2,-1,0,unknown,90.7,Có mở
27,technician,single,secondary,no,3933,no,no,cellular,28,jul,837,3,-1,0,unknown,90.11,Có mở
58,management,divorced,tertiary,no,1257,no,no,cellular,5,aug,1536,1,-1,0,unknown,90.22,Có mở
30,management,single,tertiary,no,5389,no,no,cellular,6,aug,1456,3,-1,0,unknown,90.59,Có mở
32,management,single,tertiary,no,4291,no,no,cellular,7,aug,1321,9,-1,0,unknown,91.29,Có mở
32,management,single,secondary,no,2018,no,no,cellular,11,aug,1238,1,-1,0,unknown,90.35,Có mở
60,admin.,married,tertiary,no,1614,no,no,cellular,20,aug,921,6,-1,0,unknown,91.14,Có mở
36,self-employed,single,tertiary,no,-103,yes,yes,telephone,17,oct,3253,1,-1,0,unknown,92.87,Có mở
44,technician,single,secondary,no,1679,no,no,telephone,20,oct,718,1,-1,0,unknown,93.92,Có mở
45,blue-collar,married,secondary,no,1144,yes,no,unknown,22,oct,676,1,-1,0,unknown,93.87,Có mở
56,technician,married,secondary,no,589,yes,no,unknown,23,oct,518,1,147,2,success,92.79,Có mở
58,retired,divorced,tertiary,no,3237,no,no,telephone,31,oct,615,1,-1,0,unknown,93.88,Có mở
59,retired,divorced,secondary,no,1026,no,no,unknown,5,nov,669,1,-1,0,unknown,91.64,Có mở
53,retired,married,tertiary,no,2269,no,no,cellular,17,nov,1091,2,150,1,success,93.7,Có mở
26,unemployed,single,tertiary,no,814,no,no,cellular,28,jan,1387,1,-1,0,unknown,92.07,Có mở
26,unemployed,single,secondary,no,622,no,no,cellular,28,jan,1451,2,-1,0,unknown,91.22,Có mở
61,management,married,tertiary,no,6016,no,no,cellular,2,feb,670,3,-1,0,unknown,91.62,Có mở
26,student,single,secondary,no,0,no,no,cellular,2,feb,1223,2,-1,0,unknown,90.69,Có mở
31,management,married,tertiary,no,1331,no,no,cellular,3,feb,182,2,90,1,success,92.97,Có mở
57,admin.,married,secondary,no,4391,no,no,telephone,4,feb,1416,1,-1,0,unknown,91.26,Có mở
41,self-employed,single,tertiary,no,-94,yes,no,cellular,4,feb,1164,1,203,1,failure,90.42,Có mở
28,services,single,primary,no,198,no,no,cellular,4,feb,976,2,-1,0,unknown,90.41,Có mở
38,technician,married,tertiary,no,4383,no,no,cellular,4,feb,1381,4,-1,0,unknown,92.32,Có mở
29,technician,married,secondary,no,273,no,no,cellular,4,feb,2775,2,-1,0,unknown,90.5,Có mở
35,management,single,tertiary,no,2707,no,no,cellular,5,feb,699,1,-1,0,unknown,90.86,Có mở
26,entrepreneur,single,tertiary,no,725,no,no,cellular,5,feb,1916,2,189,29,other,94.45,Có mở
28,technician,single,tertiary,no,676,no,no,cellular,5,feb,1138,2,-1,0,unknown,92.27,Có mở
26,services,single,tertiary,no,1140,yes,no,cellular,6,feb,984,2,-1,0,unknown,92.07,Có mở
